,depth,mag,stations
1389,583,3.8,42
1390,587,3,48
1391,585,3.5,21
1392,213,3.3,49
1393,529,4,19
1394,615,3.2,27
1395,45,3.5,63
1396,649,3.6,17
1397,279,3.8,11
1398,609,3.9,21
1399,99,3.8,31
1400,117,3.7,28
1401,211,3.4,35
1402,55,3.4,19
1403,63,3.2,19
1404,587,3.7,71
1405,649,3.5,21
1406,195,3.9,20
1407,529,3.8,104
1408,99,3.8,23
1409,73,3.4,35
1410,365,3.6,78
1411,143,4,22
1412,479,3.4,18
1413,43,3.4,19
1414,421,3.1,17
1415,167,2.9,55
1416,617,3.5,30
1417,67,3.9,119
1418,601,3.6,50
1419,561,3.9,23
1420,593,3.6,21
1421,69,3.7,23
1422,545,3.9,65
1423,589,3.6,32
1424,593,3.8,19
1425,59,3.7,17
1426,625,3.9,41
1427,605,3.5,14
1428,41,3.9,18
1429,185,3.9,32
1430,405,3.8,47
1431,69,3.5,32
1432,535,3.3,43
1433,157,3.6,93
1434,63,3.7,12
1435,179,3.7,43
1436,537,3.6,19
